,trialno,correctno,delay,cpd,selected,totdur,switches,tpertrial,subj
401,42,3,1.5,8,3,20.312900000000003,24,0.8463708333333334,vp4
402,43,1,0.0,8,1,12.597600000000002,14,0.8998285714285715,vp4
403,44,1,0.0,2,1,9.529700000000002,11,0.8663363636363638,vp4
404,45,3,1.5,8,3,13.7037,12,1.141975,vp4
405,46,3,1.5,2,3,17.3576,18,0.9643111111111112,vp4
406,47,1,1.5,8,1,18.5653,17,1.0920764705882353,vp4
407,48,1,0.0,2,1,10.990400000000001,11,0.9991272727272729,vp4
408,49,2,1.5,8,2,12.8055,13,0.9850384615384615,vp4
409,50,1,0.0,2,1,5.441,9,0.6045555555555555,vp4
410,51,3,1.5,2,3,44.3086,41,1.0806975609756098,vp4
411,52,1,1.5,2,1,24.601100000000002,22,1.1182318181818183,vp4
412,53,1,1.5,2,1,11.3895,17,0.6699705882352941,vp4
413,54,3,0.0,8,3,13.116800000000001,13,1.0089846153846156,vp4
414,55,2,1.5,8,2,60.99329999999999,17,3.5878411764705875,vp4
415,56,1,0.0,8,1,17.958,16,1.122375,vp4
416,57,1,1.5,8,1,10.7749,12,0.8979083333333334,vp4
417,58,2,1.5,8,2,12.644199999999996,13,0.972630769230769,vp4
418,59,3,1.5,2,3,27.2368,15,1.8157866666666667,vp4
419,60,1,1.5,2,1,9.287099999999999,8,1.1608874999999999,vp4
420,1,2,1.5,2,2,14.272,5,2.8544,VP5
421,2,3,0.0,2,3,24.145,6,4.024166666666667,VP5
422,3,1,1.5,8,1,17.282,4,4.3205,VP5
423,4,2,0.0,2,2,22.539,4,5.63475,VP5
424,5,2,1.5,2,1,17.764,5,3.5528,VP5
425,6,2,1.5,8,2,22.344,6,3.724,VP5
426,7,1,0.0,8,1,18.425,4,4.60625,VP5
427,8,3,0.0,2,3,20.414,7,2.9162857142857144,VP5
428,9,2,0.0,8,2,23.38,5,4.676,VP5
429,10,1,1.5,2,1,10.268,6,1.7113333333333334,VP5
430,11,1,1.5,8,1,11.921999999999999,6,1.9869999999999999,VP5
431,12,3,0.0,8,3,16.6904,6,2.7817333333333334,VP5
432,13,1,0.0,2,1,12.008000000000001,4,3.0020000000000002,VP5
433,14,1,0.0,8,1,18.192999999999998,4,4.5482499999999995,VP5
434,15,2,1.5,8,2,19.894000000000002,7,2.842,VP5
435,16,1,0.0,8,1,8.942,4,2.2355,VP5
436,17,2,1.5,2,2,18.487799999999996,9,2.0542,VP5
437,18,2,0.0,2,2,16.847,6,2.8078333333333334,VP5
438,19,2,0.0,8,2,18.8,7,2.685714285714286,VP5
439,20,1,1.5,8,1,14.350999999999999,6,2.391833333333333,VP5
440,21,2,0.0,2,2,11.514999999999999,5,2.303,VP5
441,22,2,0.0,2,1,13.094,6,2.1823333333333332,VP5
442,23,1,1.5,8,1,10.522000000000002,6,1.753666666666667,VP5
443,24,2,1.5,2,2,12.543,7,1.7918571428571428,VP5
444,25,1,0.0,2,1,14.219000000000001,6,2.3698333333333337,VP5
445,26,2,1.5,2,2,16.853,6,2.8088333333333337,VP5
446,27,2,0.0,8,2,15.858,6,2.6430000000000002,VP5
447,28,1,0.0,8,1,14.575,6,2.4291666666666667,VP5
448,29,3,1.5,8,3,9.588000000000001,4,2.3970000000000002,VP5
449,30,3,0.0,2,3,12.569,4,3.14225,VP5
450,31,1,1.5,2,1,14.116700000000002,7,2.0166714285714287,VP5
451,32,2,0.0,8,2,15.258000000000001,6,2.543,VP5
452,33,1,1.5,2,1,13.758000000000001,7,1.9654285714285715,VP5
453,34,2,1.5,8,2,17.673000000000002,8,2.2091250000000002,VP5
454,35,2,0.0,2,2,14.100000000000001,6,2.35,VP5
455,36,1,0.0,2,1,8.261499999999998,6,1.3769166666666663,VP5
456,37,2,1.5,2,2,10.75,6,1.7916666666666667,VP5
457,38,2,0.0,8,2,12.068000000000001,6,2.0113333333333334,VP5
458,39,2,0.0,2,1,13.544999999999998,6,2.2575,VP5
459,40,2,0.0,8,1,12.799,6,2.1331666666666664,VP5
460,41,3,0.0,8,2,13.442,6,2.2403333333333335,VP5
461,42,3,1.5,8,3,14.597,6,2.4328333333333334,VP5
462,43,1,0.0,8,1,15.455000000000002,6,2.5758333333333336,VP5
463,44,1,0.0,2,1,10.631,6,1.7718333333333334,VP5
464,45,3,1.5,8,3,12.610000000000001,6,2.101666666666667,VP5
465,46,3,1.5,2,3,9.4128,6,1.5688000000000002,VP5
466,47,1,1.5,8,1,12.105,6,2.0175,VP5
467,48,1,0.0,2,1,10.977,6,1.8295000000000001,VP5
468,49,2,1.5,8,2,17.127,7,2.4467142857142856,VP5
469,50,1,0.0,2,1,8.996,6,1.4993333333333334,VP5
470,51,3,1.5,2,3,12.191,5,2.4382,VP5
471,52,1,1.5,2,1,11.360999999999999,6,1.8934999999999997,VP5
472,53,1,1.5,2,1,9.497,5,1.8994,VP5
473,54,3,0.0,8,3,10.728000000000002,5,2.1456000000000004,VP5
474,55,2,1.5,8,2,12.555000000000001,6,2.0925000000000002,VP5
475,56,1,0.0,8,1,12.053,6,2.0088333333333335,VP5
476,57,1,1.5,8,1,13.21,6,2.2016666666666667,VP5
477,58,2,1.5,8,2,11.789000000000001,7,1.6841428571428574,VP5
478,59,3,1.5,2,3,13.915,6,2.3191666666666664,VP5
479,60,1,1.5,2,1,9.5302,6,1.5883666666666667,VP5
480,1,2,1.5,2,2,56.004000000000005,3,18.668000000000003,vp6
481,2,3,0.0,2,2,104.68,2,52.34,vp6
482,3,1,1.5,8,2,165.76,3,55.25333333333333,vp6
483,4,2,0.0,2,2,59.971000000000004,4,14.992750000000001,vp6
484,5,2,1.5,2,2,49.5664,3,16.522133333333333,vp6
485,6,2,1.5,8,3,62.61,1,62.61,vp6
486,7,1,0.0,8,2,77.17,3,25.723333333333333,vp6
487,8,3,0.0,2,3,53.01,2,26.505,vp6
488,9,2,0.0,8,3,110.83,3,36.943333333333335,vp6
489,10,1,1.5,2,1,59.785,4,14.94625,vp6
490,11,1,1.5,8,1,68.8,2,34.4,vp6
491,12,3,0.0,8,3,64.46000000000001,3,21.486666666666668,vp6
492,13,1,0.0,2,3,66.05000000000001,2,33.025000000000006,vp6
493,14,1,0.0,8,3,41.84,1,41.84,vp6
494,15,2,1.5,8,1,61.260000000000005,2,30.630000000000003,vp6
495,16,1,0.0,8,1,111.99000000000001,4,27.997500000000002,vp6
496,17,2,1.5,2,3,88.47,2,44.235,vp6
497,18,2,0.0,2,1,67.352,3,22.450666666666667,vp6
498,19,2,0.0,8,1,42.78,2,21.39,vp6
499,20,1,1.5,8,2,48.381,4,12.09525,vp6
500,21,2,0.0,2,2,66.86,3,22.286666666666665,vp6
501,22,2,0.0,2,1,78.37400000000001,6,13.062333333333335,vp6
502,23,1,1.5,8,3,79.18,2,39.59,vp6
503,24,2,1.5,2,3,35.99,1,35.99,vp6
504,25,1,0.0,2,1,45.66,2,22.83,vp6
505,26,2,1.5,2,3,56.66,2,28.33,vp6
506,27,2,0.0,8,3,61.870000000000005,3,20.623333333333335,vp6
507,28,1,0.0,8,2,25.2237,3,8.4079,vp6
508,29,3,1.5,8,2,95.73,3,31.91,vp6
509,30,3,0.0,2,3,47.72,2,23.86,vp6
510,31,1,1.5,2,1,74.43,3,24.810000000000002,vp6
511,32,2,0.0,8,2,50.87,5,10.174,vp6
512,33,1,1.5,2,1,44.876999999999995,3,14.958999999999998,vp6
513,34,2,1.5,8,1,34.382,3,11.460666666666667,vp6
514,35,2,0.0,2,2,65.762,4,16.4405,vp6
515,36,1,0.0,2,1,57.349999999999994,6,9.558333333333332,vp6
516,37,2,1.5,2,3,54.580000000000005,3,18.193333333333335,vp6
517,38,2,0.0,8,2,51.739000000000004,4,12.934750000000001,vp6
518,39,2,0.0,2,1,54.472,3,18.157333333333334,vp6
519,40,2,0.0,8,2,46.449,4,11.61225,vp6
520,41,3,0.0,8,3,69.793,4,17.44825,vp6
521,42,3,1.5,8,3,57.65,3,19.216666666666665,vp6
522,43,1,0.0,8,2,7.924799999999999,2,3.9623999999999997,vp6
523,44,1,0.0,2,2,79.358,4,19.8395,vp6
524,45,3,1.5,8,3,40.17,1,40.17,vp6
525,46,3,1.5,2,1,68.2,2,34.1,vp6
526,47,1,1.5,8,2,68.55,3,22.849999999999998,vp6
527,48,1,0.0,2,2,106.94,3,35.64666666666667,vp6
528,49,2,1.5,8,3,56.882,3,18.960666666666665,vp6
529,50,1,0.0,2,1,37.208,2,18.604,vp6
530,51,3,1.5,2,3,35.331,3,11.777000000000001,vp6
531,52,1,1.5,2,1,69.42,2,34.71,vp6
532,53,1,1.5,2,3,14.85,1,14.85,vp6
533,54,3,0.0,8,2,64.51,3,21.503333333333334,vp6
534,55,2,1.5,8,2,43.68000000000001,3,14.560000000000002,vp6
535,56,1,0.0,8,3,55.55,3,18.516666666666666,vp6
536,57,1,1.5,8,1,58.346,3,19.448666666666664,vp6
537,58,2,1.5,8,1,24.465999999999998,2,12.232999999999999,vp6
538,59,3,1.5,2,3,24.16,1,24.16,vp6
539,60,1,1.5,2,3,35.76,2,17.88,vp6
